"user";"totalPR"
"robjmills";1
"robmeijer";2
"RomainLanz";1
"RonMelkhior";1
"RoumenDamianoff";2
"rspahni";1
"ryanwinchester";1
"s4wny";1
"Sadeghi85";1
"sadika9";1
"samchivers";1
"SammyK";1
"sbine";1
"scrubmx";2
"sdbondi";2
"seeARMS";1
"sergiigrebeniuk";2
"serhatdurum";1
"ShawnMcCool";1
"sileence";1
"sineld";2
"slik";1
"socieboy";1
"sonicdoe";1
"sparksp";25
"spencerdeinum";2
"spib";1
"Spir";1
"spyric";1
"stayallive";1
"staydecent";2
"stefanneubig";1
"stevefrost";1
"stevenklar";1
"stormpat";1
"stuba";1
"svenluijten";1
"SyntaxC4";1
"taylorotwell";15
"Tenga";1
"TGM";1
"themsaid";8
"thenovacreator";1
"TheoKouzelis";2
"theravel";1
"thybag";1
"tillkruss";5
"tillsanders";1
"timgws";1
"tkaw220";2
"tkjaergaard";1
"tobsn";14
"tomasz-tomczyk";1
"tomcastleman";2
"TommyC81";3
"TomorrowToday";1
"tonglil";1
"toszcze";1
"tyloo";1
"tzan";1
"tzhuan";1
"vantoozz";1
"vauteer";1
"vespakoen";3
"vFragosop";4
"vijaythecoder";1
"vinicius73";1
"vinkla";3
"vladrusu";1
"VladShcherbin";1
"vlakoff";2
"voidman";1
"vtalbot";1
"vus520";1
"WayneHarris";1
"webpatser";2
"wGEric";2
"williamn";1
"winglian";1
"wskc";1
"yava9221";1
"ycrao";1
"ytake";1
"yuters";2
"zackkitzmiller";1
"zaknes";1
"zanderbaldwin";1
"Zarthus";1
"zlatevbg";1
