zhongwen;1;75;;;;
rowlanddepp;1;97;;;;
aravindhm;4;380;379;137;116;
mguillau;1;121;;;;
blackball;5;225;224;214;204;202
eendebakpt;4;1247;1233;292;289;
moskewcz;3;1972;308;307;;
yinxusen;1;345;;;;
luotao1;4;453;411;400;397;
borisgin;4;544;542;439;437;
abhi2610;1;503;;;;
yzhuan;1;564;;;;
egavves;1;575;;;;
anguyen8;1;619;;;;
vikkamath;1;636;;;;
ankurhanda;1;638;;;;
OpenHero;5;727;709;707;652;643
huyng;1;667;;;;
to3i;1;688;;;;
zayd;1;697;;;;
ekodeto;1;746;;;;
cvondrick;3;1460;1395;777;;
yajiedesign;2;788;783;;;
dutran;2;792;791;;;
zszhong;2;932;844;;;
Alanqc;1;887;;;;
clemenscorny;1;918;;;;
alemagnani;2;1038;937;;;
lelayf;2;1018;1017;;;
yangcha;2;1135;1134;;;
benjaminklein;2;1151;1145;;;
dbbert;1;1198;;;;
yjxiong;1;1213;;;;
vimalthilak;1;1216;;;;
leonardt;1;1237;;;;
gpascualg;1;1262;;;;
ssafar;1;1263;;;;
mdenil;1;1268;;;;
weichengkuo;1;1279;;;;
amiralush;1;1367;;;;
bearpaw;1;1378;;;;
yangyanli;1;1400;;;;
BestSonny;1;1437;;;;
mcheshkov;2;1481;1480;;;
arcadiaphy;1;1493;;;;
sio2boss;1;1562;;;;
anoopcherian;1;1583;;;;
sanchom;1;1594;;;;
ruipimenta;2;1671;1601;;;
piiswrong;1;1660;;;;
vpestret;1;1665;;;;
beniz;2;2028;1683;;;
tschmidt23;1;1711;;;;
yxgeng;1;1713;;;;
madduci;1;1714;;;;
slayton58;3;2737;1854;1739;;
nakosung;1;1759;;;;
javelinjs;1;1814;;;;
marcino239;1;1828;;;;
yanii;2;1900;1865;;;
erogol;3;1890;1889;1870;;
yanweifu;1;1881;;;;
songjmcn;2;1886;1885;;;
gitter-badger;1;1909;;;;
mees;1;1920;;;;
hmyeong;1;1953;;;;
Lupino;1;1964;;;;
axel-angel;1;1984;;;;
jukkaho;1;2026;;;;
dgmp88;1;2046;;;;
kencoken;1;2048;;;;
classner;2;2136;2084;;;
ducksoup;1;2098;;;;
paengs;1;2117;;;;
deercoder;1;2154;;;;
SnShine;1;2183;;;;
lunochod;1;2195;;;;
kevinbache;1;2204;;;;
nzikos;1;2222;;;;
SpikingNeurons;2;4775;2264;;;
pclove1;1;2271;;;;
eshelman;1;2279;;;;
ddetone;1;2283;;;;
danielhauagge;1;2284;;;;
cseward;3;3528;2327;2324;;
mitmul;1;2326;;;;
gpapan;1;2385;;;;
jnhwkim;1;2408;;;;
aspsnake;1;2416;;;;
Hsinfu;1;2476;;;;
devxoul;1;2489;;;;
simonandluna;1;2516;;;;
TrifonT;1;2529;;;;
waldol1;1;2539;;;;
wangyida;3;3103;2603;2552;;
yzhsjtu;2;3131;2563;;;
paulinder;1;2587;;;;
dbolotin;1;2599;;;;
FlorisGaisser;1;2608;;;;
naibaf7;1;2610;;;;
shawnLeeZX;1;2614;;;;
bigBlackCat;1;2615;;;;
jingpengwu;1;2644;;;;
keir;1;2651;;;;
tobyhijzen;1;2663;;;;
aleph7;1;2665;;;;
mrkn;1;2669;;;;
ctrevino;1;2674;;;;
cooperra;1;2698;;;;
sevaivanov;1;2753;;;;
qinhongwei;1;2764;;;;
semisight;1;2767;;;;
cloudswenable;1;2774;;;;
initialneil;1;2795;;;;
nturusin;1;2796;;;;
madan-ram;1;2810;;;;
flynnhe;1;2822;;;;
wlike;1;2843;;;;
katomaso;1;2952;;;;
ahmadki;1;3003;;;;
z24;1;3038;;;;
raingo;2;3970;3068;;;
MalteOeljeklaus;1;3130;;;;
jonbakerfish;1;3140;;;;
tamakoji;1;3232;;;;
wenwei202;1;3236;;;;
cque7;2;3441;3252;;;
albenoit;1;3325;;;;
denglixi;1;3348;;;;
milq;2;3392;3379;;;
MicahChambers;1;3383;;;;
acgtyrant;1;3390;;;;
zouxiaochuan;1;3401;;;;
gheinrich;1;3413;;;;
MStumpp;1;3422;;;;
samratkokula;1;3443;;;;
fishfreetaken;1;3474;;;;
noshaba;1;3476;;;;
hcl1992;1;3478;;;;
mujtabahasan;1;3497;;;;
chenjx1005;1;3516;;;;
xdever;1;3527;;;;
weiliu89;1;3542;;;;
victorv;1;3543;;;;
