user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
Miserlou;211;1;0;1;1;1;1
goinnn;1936;11;0;1;5;30;0
goinnn;1292;1;0;3;5;14;3
goinnn;1291;7;0;1;4;16;3
goinnn;217;4;0;8;4;33;14
nsb;219;0;0;2;3;20;9
kylemacfarlane;222;5;1;9;3;284;127
eduardocereto;227;1;0;0;0;0;0
eduardocereto;226;1;0;0;0;0;0
davideklund;235;0;0;1;1;7;0
lorin;1006;0;0;2;1;16;12
lorin;903;2;0;1;1;16;7
lorin;515;3;0;1;1;7;0
lorin;513;1;0;1;2;43;0
lorin;408;5;0;3;3;11;4
lorin;279;1;0;1;1;58;0
lorin;238;6;0;4;3;11;4
cadusk;239;2;0;0;0;0;0
cberner;241;2;0;2;15;53;16
cberner;240;2;0;3;12;38;16
lifeiscontent;242;15;0;0;0;0;0
windwiny;243;1;0;1;1;12;1
Agilemeister;247;2;0;1;3;19;9
kamikaze;250;0;0;0;0;0;0
bremac;251;1;0;0;0;0;0
digi604;254;1;0;1;1;3;1
andrewsmedina;264;1;0;1;2;9;4
andrewsmedina;263;1;0;2;1;19;19
andrewsmedina;259;1;0;1;1;1;1
andrewsmedina;257;1;0;1;1;1;1
dlemos;258;1;0;76;77;754;423
GaretJax;260;3;0;7;6;12;5
martijnvermaat;262;1;0;1;1;1;1
chrislawlor;268;2;0;1;2;41;34
chrislawlor;267;1;2;1;1;34;33
chrislawlor;266;1;0;1;1;1;1
danniel;275;2;4;0;0;0;0
naktinis;278;3;0;3;2;13;12
naktinis;277;0;0;2;1;13;12
naktinis;276;0;0;1;1;12;11
pelletier;280;3;0;1;1;14;1
Natim;2066;1;3;1;1;21;1
Natim;866;4;0;1;1;16;3
Natim;281;2;0;1;1;9;2
thaxter;290;1;0;1;1;3;2
ryan-blunden;292;2;0;0;0;0;0
dlamotte;893;16;6;1;4;67;2
dlamotte;304;1;0;2;2;45;1
dlamotte;302;2;0;1;2;43;1
phill-tornroth;303;4;0;1;1;37;4
d1ffuz0r;416;1;0;1;2;18;0
d1ffuz0r;410;3;3;1;7;78;3
d1ffuz0r;409;1;0;1;4;22;0
d1ffuz0r;305;2;0;2;14;206;205
mrmagooey;306;1;0;0;0;0;0
bnomis;307;1;0;1;1;2;1
dmclain;314;1;3;2;2;6;3
g1smd;324;8;0;10;1;359;0
g1smd;316;3;1;2;1;158;0
anton-ryzhov;317;9;0;2;3;35;5
myusuf3;859;1;0;0;0;0;0
myusuf3;319;15;4;0;0;0;0
idanz;321;4;0;1;1;1;1
awsum;322;6;1;5;2;67;7
lotheac;369;5;9;5;3;14;5
lotheac;326;3;0;1;1;1;1
mcrute;328;3;0;0;0;0;0
kix;329;1;0;3;3;42;1
obeattie;1021;1;0;2;2;28;2
obeattie;332;1;0;2;2;41;8
bumyong;344;2;0;1;2;35;2
ashchristopher;346;3;0;1;4;63;1
jwmayfield;347;1;0;1;4;69;4
rvarshney;348;1;1;1;2;43;30
peterlandry;2419;3;0;1;1;9;0
peterlandry;352;5;0;1;2;23;4
adamdeprince;1473;2;0;3;4;166;2
adamdeprince;353;1;2;2;4;139;5
frgtn;7486;1;8;0;0;0;0
frgtn;367;2;0;0;0;0;0
jgsogo;368;3;1;1;1;9;5
bkg;395;0;0;1;5;15;12
bkg;374;1;0;1;1;1;1
meric;378;2;0;14;32;182;302
jdunck;848;4;0;1;1;6;13
jdunck;384;1;1;3;1;8;0
jdunck;381;1;0;1;2;12;0
paulswartz;382;1;0;1;2;23;4
trbs;383;1;0;1;2;19;1
jMyles;4066;9;7;1;2;36;4
jMyles;387;3;0;1;1;1;1
viniciuscainelli;392;4;0;1;1;10;8
dvelyk;397;1;0;1;1;31;29
melinath;2655;2;2;1;5;13;12
melinath;2652;4;31;5;15;229;61
melinath;2638;1;8;1;3;29;1
melinath;2452;2;0;1;2;24;1
melinath;414;2;0;99;267;4022;1541
melinath;413;2;0;1;3;42;3
melinath;398;1;0;1;5;30;7
jbuckner;406;3;0;7;3;79;4
mhaligowski;429;5;0;0;0;0;0
mhaligowski;424;1;0;0;0;0;0
mhaligowski;412;1;0;0;0;0;0
doda;415;1;2;0;0;0;0
0x0badc0de;417;8;0;0;0;0;0
Vienzzion;421;3;0;1;1;6;0
vicould;449;1;0;5;2;42;1
vicould;423;1;0;1;2;15;1
arild-haugstad;432;2;0;0;0;0;0
lqc;443;0;0;1;5;64;14
lqc;442;1;7;1;2;43;10
lqc;441;2;3;1;4;34;15
signed0;446;1;0;0;0;0;0
signed0;445;0;0;0;0;0;0
erlenddalen;447;1;0;1;1;3;3
santtu;448;1;0;1;1;15;1
Kronuz;4095;1;0;1;1;1;1
Kronuz;451;2;0;1;1;6;6
L1NT;458;1;0;0;0;0;0
fanatid;464;6;7;0;0;0;0
pholmes-gsa;471;0;0;1;1;2;0
ibustama;477;2;0;1;1;10;0
fletom;478;3;0;0;0;0;0
nosamanuel;482;2;0;3;3;35;4
foxx;483;1;2;0;0;0;0
khoomeister;491;0;0;1;2;5;2
khoomeister;487;2;0;1;2;4;1
keimlink;489;1;0;1;1;11;0
kokardy;492;1;0;0;0;0;0
harph;498;1;3;6;16;171;221
beshrkayali;500;2;0;17;22;169;39
pkolt;501;1;0;0;0;0;0
benoitbryon;502;4;0;3;2;177;42
woodlee;505;1;0;1;2;31;2
seanbrant;508;2;0;0;0;0;0
Glideh;510;1;0;0;0;0;0
minrk;1403;9;0;1;1;26;14
minrk;512;6;0;1;1;4;2
EmilStenstrom;1106;2;2;19;10;176;145
EmilStenstrom;525;2;0;1;1;2;1
EmilStenstrom;522;0;0;1;2;17;2
nicolaslara;526;3;0;1;3;44;2
heyman;527;2;0;1;2;9;0
per42;542;4;0;28;45;1205;286
per42;528;1;0;3;2;30;15
thiderman;535;1;0;1;3;23;2
thiderman;529;2;1;1;6;117;6
cvitan;1109;1;0;6;3;27;0
cvitan;1105;0;0;4;3;29;0
cvitan;530;1;0;1;2;9;0
shepdl;531;1;6;0;0;0;0
ghickman;532;3;0;1;2;14;3
edwtjo;533;1;0;0;0;0;0
Rizach;534;1;0;0;0;0;0
sebasmagri;540;3;0;2;2;53;9
sebasmagri;539;1;0;2;2;53;9
sebasmagri;538;1;0;2;1;2;2
alexhayes;541;3;0;3;0;0;0
azza-bazoo;547;1;0;0;0;0;0
raffael-sfm;551;0;0;1;1;1;1
raffael-sfm;550;0;0;1;1;1;1
max-arnold;552;3;0;1;1;1;1
inocuo;553;0;4;1;1;2;2
ebertti;1686;2;0;0;0;0;0
ebertti;557;5;0;0;0;0;0
teferi;562;1;0;1;1;4;0
teferi;561;4;0;2;1;1;0
bak1an;5612;9;0;1;2;37;3
bak1an;5343;3;3;1;2;34;7
bak1an;5244;18;7;6;3;117;42
bak1an;3553;7;10;1;6;73;3
bak1an;2272;1;0;1;2;26;3
bak1an;2259;4;0;1;4;66;3
bak1an;1305;1;0;1;2;36;10
bak1an;1017;7;2;1;2;13;0
bak1an;978;3;0;30;58;938;236
bak1an;786;6;0;14;39;730;615
bak1an;586;5;0;1;3;27;1
bak1an;565;1;0;1;3;32;2
gw0;567;2;0;4;5;111;10
gw0;566;1;0;3;6;159;44
ludwigkraatz;568;1;1;3;2;36;7
tcsorrel;2388;5;5;1;5;50;2
tcsorrel;575;1;0;1;7;62;2
ak3n;577;1;0;0;0;0;0
eire1130;578;2;3;5;3;130;58
emulbreh;6638;7;23;2;10;49;16
emulbreh;580;1;0;27;99;1594;327
BHold;599;1;0;29;58;2823;825
BHold;581;0;0;1;2;23;1
robert-j-engdahl;584;3;0;2;2;22;1
chmarr;5900;1;0;1;4;12;1
chmarr;5892;5;0;1;4;49;33
chmarr;5890;5;0;1;5;25;1
chmarr;592;2;0;1;1;17;13
chmarr;588;1;3;1;10;47;44
rtnpro;653;12;6;1;6;74;4
rtnpro;590;8;2;1;2;54;4
piotrmaslanka;593;2;0;0;0;0;0
nicolasleger;594;3;0;1;1;1;1
mcardillo55;600;1;0;924;4550;201354;408946
patrys;5692;2;0;1;3;58;25
patrys;5649;2;5;1;1;9;13
patrys;4797;1;10;1;2;53;12
patrys;4780;6;2;1;2;23;8
patrys;4451;6;0;2;2;20;0
patrys;4450;8;4;2;3;66;16
patrys;3634;5;4;2;2;20;8
patrys;3546;15;12;1;11;200;88
patrys;1177;0;2;1;25;265;262
patrys;1139;7;0;1;2;6;6
patrys;1133;3;0;2;3;45;27
patrys;1108;3;0;1;1;2;5
patrys;601;1;1;2;3;33;2
Y3K;5210;2;3;1;2;24;0
Y3K;5205;4;7;1;4;5;9
Y3K;5204;1;4;1;3;13;2
Y3K;604;2;0;1;1;1;1
tbartelmess;607;3;0;0;0;0;0
tbartelmess;606;1;0;0;0;0;0
LucasMagnum;608;1;0;0;0;0;0
ELLIOTTCABLE;610;2;0;0;0;0;0
lborgav;611;5;0;0;0;0;0
mpaolini;614;4;0;2;2;5;1
ostcar;621;2;0;0;0;0;0
mengzhuo;623;1;0;0;0;0;0
rosslaird;625;1;0;0;0;0;0
lraucy;626;1;0;2;2;11;4
nijel;3816;1;0;1;2;7;1
nijel;3815;8;9;1;3;18;2
nijel;3298;2;0;1;1;4;3
