user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
uvgroovy;19199;20;0;2;2;2;4
eslizn;19256;13;0;1;1;2;2
mafraba;19260;28;0;5;15;2145;0
tooooolong;19288;6;0;1;1;10;17
countdigi;19451;4;0;0;0;0;0
countdigi;19450;4;0;0;0;0;0
timbyr;29282;12;2;1;3;207;65
timbyr;29281;9;2;1;4;19;8
timbyr;19473;25;0;4;45;1469;738
bmeck;19606;29;0;1;4;12;1
maazkhan;19625;23;13;1;13;667;2
rohitsardesai83;19643;4;0;1;23;25426;22544
nirdothan;20658;17;2;2;14;24631;24185
nirdothan;19695;14;11;54;383;155752;35368
pwais;19763;14;6;1;3;47;26
nohkwangsun;20298;5;0;1;2;29;0
nohkwangsun;20296;2;0;3;2;29;0
nohkwangsun;20295;4;0;2;2;28;0
linsun;20331;40;19;13;5;37;0
arimed;20666;13;27;3;7;98;4
shanegibbs;23400;36;6;1;6;82;5
shanegibbs;20728;9;4;2;1;3;3
likku3;20973;6;0;536;1407;82629;12243
huhoo;21222;6;0;906;2577;182611;297451
megastef;21281;21;0;2;2;149;0
ahuffman;21422;20;0;0;0;0;0
JonatanE;21638;7;0;1;1;1;1
academ1c;21678;2;0;1;1;9;0
codeb2cc;21863;13;0;1;4;10;0
wanyenhsu;21942;12;0;64;52;2466;122697
izogain;22126;17;0;1;1;1;1
txomon;22152;12;0;1;2;60;0
txomon;22144;14;1;2;11;13;13
beckettsean;22552;8;0;1;1;1;1
beckettsean;22395;8;0;1;1;1;1
Seb-Solon;22439;7;1;4;11;1125;1
pstauffer;22488;23;0;1;2;2;2
balonus;22597;25;2;1;9;880;0
petems;22705;10;0;2;2;81;3
jwendell;28289;17;0;1;1;6;0
jwendell;22706;19;0;1;4;9;0
dogan-sky;22745;2;0;5;16;6573;252
lingz;22787;14;0;1;1;5;1
john-dodson;22829;43;4;3;1;9;1
mm0;22879;26;6;1;2;3;2
dachulin;24201;8;4;2;3;6;1
dachulin;22957;8;0;1;3;7;1
davidewatson;23002;5;0;1;1;0;0
cgilling;23031;9;0;1;2;2;2
ohtake;23318;10;5;2;10;837;0
a-palchikov;33032;13;1;2;1;2;2
a-palchikov;23331;35;33;1;7;256;91
mattthias;23374;7;0;1;2;3;2
dengshuan;23489;13;0;2;6;16;16
albertoarias;23498;14;0;1;1;10;8
koubas;23589;7;0;1;1;2;1
kandekar;23606;4;0;2456;2549;251620;129547
paulbakker;23626;14;0;1;1;1;0
greg89757;23729;13;0;0;0;0;0
Phelimb;23788;15;0;0;0;0;0
mjg59;23834;41;1;4;28;4368;0
f-higashi;23857;6;0;1;2;2;2
c4po;25680;10;0;3;1;78;0
c4po;23867;13;0;1;1;1;1
aabed;23910;10;0;3;1;4;4
phagunbaya;23977;8;0;2;1;1;0
shenlanse;23978;8;0;540;1407;82651;12243
mingchuno;24099;8;0;1;1;2;2
KingEmet;24147;4;0;1;1;1;1
cclient;24187;9;0;0;0;0;0
xenophobed;24313;6;0;1;1;1;1
kgelinas;24708;13;0;329;771;23883;18617
jmhodges;24765;11;0;1;1;1;1
patpenetrante;24775;4;0;1;0;0;0
thuandt;24786;23;0;1;1;9;7
ntfrnzn;24892;21;12;1567;4280;332824;314971
stuartbassett;25032;8;0;1;12;362;33
boz;25301;5;0;1;4;47;1
gregory-m;25359;5;0;1;1;32;10
tslater;25419;10;3;0;0;0;0
xxyztwz;25455;14;0;1;1;2;1
kfox1111;25624;67;14;2;15;495;50
mattk42;25689;15;0;1;1;1;1
zke10140699;25724;5;0;1;1;1;1
zke10140699;25720;7;0;1;1;1;1
tobstarr;25746;9;0;1;1;1;1
present007;25796;4;0;1;1;17;0
daniel-yavorovich;25798;12;0;1;1;2;2
sputnik13;25821;43;36;3;1;320;0
cmceniry;25906;21;0;1;6;36;7
mgoodness;25910;15;0;0;0;0;0
antonmry;26014;5;0;1;1;293;0
codevulture;26037;25;0;1;1;28;1
blerko;26064;5;0;3;2;1532;4
blerko;26055;6;0;1;2;1532;4
captainblerko;26143;16;0;1;2;1532;4
ngtuna;26165;33;3;16;103;72430;0
elg0nz;26310;14;0;3;41;6447;301
andreimc;26500;8;0;0;0;0;0
cben;26506;10;1;1;8;45;29
yaxinlx;26558;18;0;1;1;10;1
salv-orlando;26660;20;0;4;16;768;228
tcahill;27193;31;2;1;38;231;137
tcahill;26814;7;5;1;2;61;4
ChienWorld;26841;14;0;0;0;0;0
leslau;27069;9;0;1;1;1;1
liuliuzi;27262;4;0;1;0;0;0
robbrockbank;27447;19;17;6;6;899;0
kevinkim9264;27474;18;27;4;3;286;16
sinwav;35942;6;0;1;8;12;12
sinwav;27574;11;0;3;21;26;25
sosiouxme;27640;21;0;1;2;4;4
CsatariGergely;33999;11;2;1;1;2;4
CsatariGergely;27689;6;0;1;1;1;0
lyq314;27696;10;0;13;444;4813;13314
ltiao;27702;9;0;1;1;1;1
yingjinhui;28198;11;0;1;3;137;0
yingjinhui;27759;15;0;1;3;137;0
bodepd;27782;20;0;1;1;1;1
reAsOn2010;27860;19;15;3;21;2624;5
u2takey;28085;11;1;1;1;1;2
fvigotti;28286;16;0;1;1;1;1
niuqg;28338;9;0;1;1;1;1
niuqg;28334;8;0;1;1;1;1
niuqg;28333;4;0;2;1;1;1
niuqg;28331;6;0;2;1;1;1
virtuald;28377;10;0;1;1;1;1
jeremy-clerc;28432;19;5;2;10;60;235
mikejihbe;28508;50;8;1;1;86;0
sudhi-vm;39037;11;0;1;1;1;1
sudhi-vm;28621;17;0;1;1;2;1
tudly;28666;10;0;57;565;6884;15866
bobrik;28682;12;0;1;4;12;16
AdlyTempleton;28689;13;0;1;1;54;0
maklemenz;28837;18;0;3;5;8;8
chenzhiwei;28995;14;0;1;1;5;0
wangzhezhe;29180;10;0;1;4;173;4
wangzhezhe;29173;5;0;1;4;173;4
danielqsj;29175;14;2;1;2;55;0
from-nibly;29226;14;1;2;3;58;1
lukemarsden;31221;58;143;10;24;2611;6
lukemarsden;30361;37;9;3;3;153;0
lukemarsden;30360;29;53;9;1;258;0
lukemarsden;29551;55;31;10;1;54;0
dcwangmit01;29680;14;2;1;1;7;1
ace-n;29702;14;0;1;5;189;0
ronaldpetty;30203;11;0;1;0;0;0
himpich;30288;17;0;1;1;2;2
KnoxAnderson;30389;16;0;1;1;1;1
qianyong2005;30431;9;0;56;565;6954;15850
shouhong;30436;15;0;1;1;1;0
kamalhussain;30512;13;0;1;1;20;20
kamalhussain;30505;9;0;1;1;19;20
randalloveson;30547;14;0;1;1;7;7
choldrim;30574;16;0;2;1;1;1
yogev-stratoscale;30620;2;0;1;4;40;0
waitingkuo;30677;13;0;1;1;1;1
vromero;30705;19;0;1;1;11;4
weiGGguo;30746;11;0;350;777;24093;18689
mikekap;30928;10;0;1;4;20;0
venkateshs2006;31084;11;0;964;2585;182950;297569
brancz;31107;13;14;1;2;175;0
kb1ca;31672;16;0;2;1;19;3
stean93;31690;13;0;350;777;24093;18689
shahzackry;32055;5;0;2;488;5168;14359
FengyunPan;42565;6;0;48;150;1921;2653
FengyunPan;32120;18;5;1;1;1;0
erinboyd;35552;6;8;6;2;267;0
erinboyd;32146;10;13;2;1;94;0
marianogappa;32283;11;0;2;1;3;3
derjohn;32297;2;0;3;6;27;23
tsungming;32357;2;0;1;0;0;0
mwringe;32491;8;19;1;13;3128;2831
marcmillien;32572;6;0;1;10;642;0
gaocegege;32652;2;0;1;1;7;1
mayman;32790;9;3;0;0;0;0
dgonzalez;34418;13;14;3;1;48;0
dgonzalez;33435;18;2;7;7;29;11
zhaosijun;33468;12;0;1;15;620;20
hongshibao;33529;6;0;1;1;1;1
VictorDenisov;33535;9;6;1;4;5;2
cornelius-keller;33553;13;0;1;4;7;4
Tchinmai7;33635;4;0;1;1;15;15
maxwell92;37603;8;0;1;1;1;1
maxwell92;33902;15;3;166;618;36588;12174
maxwell92;33822;8;0;1;1;1;1
