"joomla";9770;1;1
"joomla";511;1;1
"jquery";1166;1;1
"jquery";3322;3;0
"jquery";521;2;1
"jquery";1636;5;1
"jquery";2625;5;3
"jquery";1608;5;2
"jquery";1306;1;0
"jquery";3422;6;12
"jquery";794;4;1
"jquery";2830;2;1
"jquery";3218;7;2
"jquery";717;24;5
"jquery";891;3;5
"jquery";641;2;1
"jquery";1252;0;1
"jquery";925;3;1
"jquery";872;0;0
"jquery";992;0;0
"jquery";1373;4;1
"jquery";1169;1;1
"jquery";2518;2;0
"jquery";2830;2;1
"jquery";1456;2;1
"laravel";3882;1;1
"laravel";3175;8;2
"laravel";1358;1;1
"laravel";1358;1;1
"laravel";1040;1;0
"laravel";3907;1;0
"laravel";3794;1;0
"laravel";1817;1;1
"laravel";3286;0;1
"laravel";3437;1;1
"laravel";822;0;0
"laravel";1894;2;1
"laravel";3608;5;1
"laravel";3711;4;0
"laravel";1796;5;0
"laravel";3508;1;4
"laravel";2012;2;0
"laravel";3127;1;2
"laravel";1214;1;0
"laravel";1157;0;0
"laravel";3223;3;2
"laravel";3429;0;0
"laravel";2966;2;10
"laravel";1753;3;0
"laravel";1945;1;1
"laravel";1214;1;0
"laravel";3063;1;1
"laravel";1246;1;1
"laravel";1945;1;1
"laravel";3248;4;1
"laravel";761;3;1
"mongo";495;1;0
"mongo";1043;1;1
"mongo";63;2;0
"mongo";728;2;1
"mongo";408;2;1
"mongo";668;3;1
"mongo";1048;3;1
"opencv";210;9;2
"opencv";5761;1;3
"opencv";1896;2;1
"opencv";733;9;3
"opencv";1831;2;1
"opencv";7073;12;3
"opencv";5213;3;1
"opencv";5585;3;1
"opencv";5213;3;1
"rails";26897;3;1
"rails";25063;7;2
"rails";6834;9;2
"rails";11256;2;1
"rails";20589;3;2
"rails";2648;5;1
"rails";13225;1;1
"rails";24822;3;1
"rails";21847;7;6
"rails";11256;2;1
"rails";5169;4;3
"rails";23516;7;1
"rails";16257;2;1
"rails";19025;2;3
"rails";19369;3;1
"rails";14903;4;1
"rails";22882;4;1
"rails";11588;1;1
"rails";21141;5;1
"rails";12212;4;1
"rails";14458;1;2
"rails";4176;3;0
"rails";149;1;1
"rails";12144;8;1
"rails";3019;7;1
"rails";19495;4;1
