"Project";"Mdn Comments";"Mdn Review Comments";"Mdn Commits";"Mdn Added lines";"Mdn Added lines";"Mdn Changed Files"
"angular-jsMetrics";4;0;1;2;1;1
"angular-jsMetrics";4;0;1;2;1;1
